,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2021-02-19T11:45:35.348-05:00,   0.204E+00,   0.20412,   2.54688
      2,2021-02-19T11:45:35.392-05:00,   0.204E+00,   0.40825,   2.57812
      3,2021-02-19T11:45:35.440-05:00,   0.204E+00,   0.61237,   2.59375
      4,2021-02-19T11:45:35.492-05:00,   0.204E+00,   0.81650,   2.60938
      5,2021-02-19T11:45:35.558-05:00,   0.590E-01,   0.87546,   2.62500
      6,2021-02-19T11:45:35.619-05:00,   0.649E-01,   0.94031,   2.64062
      7,2021-02-19T11:45:35.683-05:00,   0.713E-01,   1.01165,   2.65625
      8,2021-02-19T11:45:35.747-05:00,   0.619E-01,   1.07355,   2.67188
      9,2021-02-19T11:45:35.812-05:00,   0.527E-01,   1.12623,   2.70312
     10,2021-02-19T11:45:35.875-05:00,   0.527E-01,   1.17890,   2.75000
     20,2021-02-19T11:45:36.464-05:00,   0.449E-01,   1.72059,   2.96875
     30,2021-02-19T11:45:36.871-05:00,   0.404E-01,   2.14734,   3.14062
     40,2021-02-19T11:45:37.347-05:00,   0.445E-01,   2.57178,   3.29688
     50,2021-02-19T11:45:37.864-05:00,   0.445E-01,   3.01644,   3.51562
     60,2021-02-19T11:45:38.348-05:00,   0.489E-01,   3.48777,   3.70312
     70,2021-02-19T11:45:38.855-05:00,   0.489E-01,   3.97689,   3.87500
     80,2021-02-19T11:45:39.353-05:00,   0.538E-01,   4.51003,   4.03125
     90,2021-02-19T11:45:39.877-05:00,   0.538E-01,   5.04806,   4.18750
    100,2021-02-19T11:45:40.396-05:00,   0.538E-01,   5.58609,   4.46875
    200,2021-02-19T11:45:45.201-05:00,   0.467E-01,  10.39857,   6.31250
    300,2021-02-19T11:45:50.467-05:00,   0.435E-01,  15.50113,   8.31250
    400,2021-02-19T11:45:55.726-05:00,   0.503E-01,  20.58674,   9.90625
    500,2021-02-19T11:46:01.047-05:00,   0.534E-01,  25.64628,  12.03125
    600,2021-02-19T11:46:06.323-05:00,   0.436E-01,  30.53785,  13.95312
    700,2021-02-19T11:46:11.558-05:00,   0.446E-01,  35.56324,  15.85938
    800,2021-02-19T11:46:16.838-05:00,   0.467E-01,  40.49237,  17.70312
    900,2021-02-19T11:46:22.153-05:00,   0.517E-01,  45.54339,  19.57812
   1000,2021-02-19T11:46:27.683-05:00,   0.514E-01,  50.74840,  21.50000
   1100,2021-02-19T11:46:32.730-05:00,   0.522E-01,  55.82873,  23.46875
   1184,2021-02-19T11:46:36.940-05:00,   0.139E-01,  60.00000,  24.98438
